Product,Timestamp,Dealprice
華為-Mate30-5G,2021-01-29,4989.0
華為-Mat30Pro,2021-01-29,5299.0
華為-Mat30Pro-5G,2021-01-29,6399.0
Vivo-Nex3,2021-01-29,3998.0
Vivo-Nex3-5G,2021-01-29,3996.0
三星-Note10,2021-01-29,4699.0
三星-Note10-5G,2021-01-29,5799.0
華為-Mate30,2021-01-28,3999.0
華為-Mate30-5G,2021-01-28,4989.0
華為-Mat30Pro,2021-01-28,5299.0
華為-Mat30Pro-5G,2021-01-28,6399.0
Vivo-Nex3,2021-01-28,3998.0
Vivo-Nex3-5G,2021-01-28,3996.0
三星-Note10,2021-01-28,4699.0
三星-Note10-5G,2021-01-28,5799.0
華為-Mate30,2021-01-26,3999.0
華為-Mate30-5G,2021-01-26,4989.0
華為-Mat30Pro,2021-01-26,5299.0
華為-Mat30Pro-5G,2021-01-26,6399.0
Vivo-Nex3,2021-01-26,3998.0
Vivo-Nex3-5G,2021-01-26,3996.0
三星-Note10,2021-01-26,4699.0
三星-Note10-5G,2021-01-26,5799.0
華為-Mate30,2021-01-25,3999.0
華為-Mate30-5G,2021-01-25,4989.0
華為-Mat30Pro,2021-01-25,5299.0
華為-Mat30Pro-5G,2021-01-25,6399.0
Vivo-Nex3,2021-01-25,3998.0
Vivo-Nex3-5G,2021-01-25,3996.0
三星-Note10,2021-01-25,4699.0
三星-Note10-5G,2021-01-25,5799.0
華為-Mate30,2021-01-24,3999.0
華為-Mate30-5G,2021-01-24,4989.0
華為-Mat30Pro,2021-01-24,5299.0
華為-Mat30Pro-5G,2021-01-24,6399.0
Vivo-Nex3,2021-01-24,3998.0
Vivo-Nex3-5G,2021-01-24,3996.0
三星-Note10,2021-01-24,4699.0
三星-Note10-5G,2021-01-24,5799.0
華為-Mate30,2021-01-23,3999.0
華為-Mate30-5G,2021-01-23,4989.0
華為-Mat30Pro,2021-01-23,5299.0
華為-Mat30Pro-5G,2021-01-23,6399.0
Vivo-Nex3,2021-01-23,3998.0
Vivo-Nex3-5G,2021-01-23,3996.0
三星-Note10,2021-01-23,4699.0
三星-Note10-5G,2021-01-23,5799.0
華為-Mate30,2021-01-22,3999.0
華為-Mate30-5G,2021-01-22,4989.0
華為-Mat30Pro,2021-01-22,5299.0
華為-Mat30Pro-5G,2021-01-22,6399.0
Vivo-Nex3,2021-01-22,3998.0
Vivo-Nex3-5G,2021-01-22,3996.0
三星-Note10,2021-01-22,4699.0
三星-Note10-5G,2021-01-22,5799.0
華為-Mate30,2021-01-21,3999.0
華為-Mate30-5G,2021-01-21,4989.0
華為-Mat30Pro,2021-01-21,5299.0
華為-Mat30Pro-5G,2021-01-21,6399.0
Vivo-Nex3,2021-01-21,3998.0
Vivo-Nex3-5G,2021-01-21,3996.0
三星-Note10,2021-01-21,4699.0
三星-Note10-5G,2021-01-21,5799.0
華為-Mate30,2021-01-20,3999.0
華為-Mate30-5G,2021-01-20,4989.0
華為-Mat30Pro,2021-01-20,5299.0
華為-Mat30Pro-5G,2021-01-20,6399.0
Vivo-Nex3,2021-01-20,3998.0
Vivo-Nex3-5G,2021-01-20,3996.0
三星-Note10,2021-01-20,4699.0
三星-Note10-5G,2021-01-20,5799.0
華為-Mate30,2021-01-19,3999.0
華為-Mate30-5G,2021-01-19,4989.0
華為-Mat30Pro,2021-01-19,5299.0
華為-Mat30Pro-5G,2021-01-19,6399.0
Vivo-Nex3,2021-01-19,3998.0
Vivo-Nex3-5G,2021-01-19,3996.0
三星-Note10,2021-01-19,4699.0
三星-Note10-5G,2021-01-19,5799.0
華為-Mate30,2021-01-18,3999.0
華為-Mate30-5G,2021-01-18,4989.0
華為-Mat30Pro,2021-01-18,5299.0
華為-Mat30Pro-5G,2021-01-18,6399.0
Vivo-Nex3,2021-01-18,3998.0
Vivo-Nex3-5G,2021-01-18,3996.0
三星-Note10,2021-01-18,4699.0
三星-Note10-5G,2021-01-18,5799.0
華為-Mate30,2021-01-17,3999.0
華為-Mate30-5G,2021-01-17,4989.0
華為-Mat30Pro,2021-01-17,5299.0
華為-Mat30Pro-5G,2021-01-17,6399.0
Vivo-Nex3,2021-01-17,3998.0
Vivo-Nex3-5G,2021-01-17,3996.0
三星-Note10,2021-01-17,4699.0
三星-Note10-5G,2021-01-17,5799.0
華為-Mate30,2021-01-16,3999.0
華為-Mate30-5G,2021-01-16,4989.0
華為-Mat30Pro,2021-01-16,5299.0
華為-Mat30Pro-5G,2021-01-16,6399.0
Vivo-Nex3,2021-01-16,3998.0
Vivo-Nex3-5G,2021-01-16,3996.0
三星-Note10,2021-01-16,4699.0
三星-Note10-5G,2021-01-16,5799.0
華為-Mate30,2021-01-15,3999.0
華為-Mate30-5G,2021-01-15,4989.0
華為-Mat30Pro,2021-01-15,5299.0
華為-Mat30Pro-5G,2021-01-15,6399.0
Vivo-Nex3,2021-01-15,3998.0
Vivo-Nex3-5G,2021-01-15,3996.0
三星-Note10,2021-01-15,4699.0
三星-Note10-5G,2021-01-15,5799.0
華為-Mate30,2021-01-14,3999.0
